Timestamp,Age,Gender,School Level,"What is the size of your class?
(Please enter the total number of students in your class.)",How supportive is your family? ,"How much support do you get from your siblings?
",  How often is there conflict at home?  ,Do your parents monitor your schoolwork and activities?,How many close friends do you have at school?,How much support do you get from your friends?,How supportive are your teachers?,Is there a system for reporting bullying at your school,Do teachers supervise students properly in class and during recess?,How safe do you feel at school?,How stressed do you feel at school,How would you rate your self-esteem/confidence?,How often do you feel lonely at school?,How often do you use social media?,Have you ever been bullied at school,"If yes, what type of bullying have you experienced? (Select all that apply)  ",How often have you experienced this bullying? , What do you usually do when someone bullies you? (Select all that apply)
11/3/2025 12:51:27,23,Female,College/Pre-University/University,60,Very High,Always,Sometimes,Sometimes,3-5,Often,Very High,Not sure,Often,Safe,Low,Low,Sometimes,more than 5 hours,No,,,
11/3/2025 13:54:44,22,Female,College/Pre-University/University,50,Very High,Always,Sometimes,Often,1-2,Always,High,Yes,Sometimes,Slightly safe,High,Very High,Never,more than 5 hours,No,,,
11/3/2025 14:03:56,18,Male,College/Pre-University/University,22,High,Often,Often,Not at all,3-5,Always,High,Not sure,Sometimes,Safe,Very High,Very Low,Always,more than 5 hours,Yes,"Verbal, Sexual",Sometimes,"Tell a friend, Ignore it/keep it to myself"
11/3/2025 15:53:39,25,Female,College/Pre-University/University,35,High,Sometimes,Sometimes,Not at all,1-2,Sometimes,High,No,Never,Safe,High,High,Sometimes,more than 5 hours,No,,,
11/3/2025 16:38:07,21,Female,College/Pre-University/University,72,Very High,Always,Sometimes,Not at all,More than 5,Often,High,Yes,Often,Safe,High,High,Sometimes,3-5 hours,No,,,
11/3/2025 17:23:22,18,Female,College/Pre-University/University,36,High,Always,Often,Always,1-2,Often,High,Not sure,Often,Safe,High,High,Sometimes,more than 5 hours,Yes,Verbal,Sometimes,Tell a friend
11/3/2025 19:54:42,25,Female,College/Pre-University/University,15,High,Always,Sometimes,Sometimes,3-5,Sometimes,High,Not sure,Often,Safe,Low,Very Low,Sometimes,3-5 hours,No,,,
11/3/2025 20:19:06,19,Female,College/Pre-University/University,100,Very High,Often,Sometimes,Often,1-2,Sometimes,High,Yes,Always,Safe,High,Low,Sometimes,more than 5 hours,No,,,
11/3/2025 20:19:18,20,Female,College/Pre-University/University,45,High,Often,Sometimes,Sometimes,More than 5,Always,Low,Not sure,Sometimes,Safe,Low,High,Sometimes,3-5 hours,No,,,
11/3/2025 20:19:21,19,Female,College/Pre-University/University,100,High,Often,Sometimes,Sometimes,3-5,Often,Low,No,Sometimes,Slightly safe,Low,High,Sometimes,more than 5 hours,No,,,
11/3/2025 22:06:00,20,Female,College/Pre-University/University,60,High,Sometimes,Sometimes,Sometimes,1-2,Often,High,No,Sometimes,Safe,High,Low,Sometimes,more than 5 hours,No,,,
11/3/2025 22:07:23,20,Female,College/Pre-University/University,60,Very High,Always,Sometimes,Not at all,More than 5,Always,High,No,Sometimes,Safe,Very High,Low,Sometimes,more than 5 hours,Yes,Cyber,Rarely,"Tell a friend, Ignore it/keep it to myself"
11/3/2025 22:08:17,20,Female,College/Pre-University/University,30,Very High,Sometimes,Sometimes,Not at all,More than 5,Sometimes,Low,No,Sometimes,Slightly safe,Low,High,Sometimes,more than 5 hours,Yes,"Physical, Verbal, Sexual",Sometimes,"Tell a parent or family member, Ignore it/keep it to myself, Fight back or defend myself"
11/3/2025 22:12:43,21,Male,College/Pre-University/University,60,Very High,Often,Never,Not at all,3-5,Sometimes,Low,Not sure,Sometimes,Safe,Low,High,Sometimes,more than 5 hours,No,,,
11/3/2025 22:13:32,19,Male,College/Pre-University/University,60,Very High,Always,Never,Often,3-5,Always,High,Yes,Sometimes,Slightly safe,Very Low,Very High,Never,more than 5 hours,Yes,Relational / Social,Rarely,"Tell a teacher or counsellor, Tell a parent or family member, Tell a friend, Fight back or defend myself"
11/3/2025 22:14:14,19,Male,College/Pre-University/University,200,High,Never,Never,Sometimes,3-5,Sometimes,Very Low,Yes,Often,Safe,High,Very Low,Often,3-5 hours,No,,,
11/3/2025 22:14:49,21,Male,College/Pre-University/University,50,Very High,Sometimes,Sometimes,Not at all,More than 5,Always,Low,Yes,Never,Safe,Low,High,Never,more than 5 hours,No,,,
11/3/2025 23:10:14,21,Male,College/Pre-University/University,150,High,Sometimes,Sometimes,Not at all,1-2,Often,Low,No,Sometimes,Safe,High,High,Sometimes,3-5 hours,No,,,
11/4/2025 0:40:58,21,Female,College/Pre-University/University,23,High,Sometimes,Often,Often,3-5,Sometimes,High,Yes,Sometimes,Safe,High,High,Sometimes,3-5 hours,No,,,
11/4/2025 11:34:16,21,Female,College/Pre-University/University,40,Very High,Always,Sometimes,Not at all,More than 5,Always,High,Yes,Often,Safe,Low,Very High,Never,more than 5 hours,No,,,
11/4/2025 14:21:19,19,Female,College/Pre-University/University,16,Very High,Often,Sometimes,Sometimes,More than 5,Often,High,Not sure,Always,Very safe,Low,Low,Sometimes,more than 5 hours,No,,,
11/4/2025 15:02:26,23,Female,College/Pre-University/University,40,Very High,Always,Sometimes,Sometimes,More than 5,Always,Very High,Not sure,Often,Very safe,High,Low,Never,more than 5 hours,No,,,
11/4/2025 15:02:29,21,Female,College/Pre-University/University,70,High,Often,Sometimes,Often,3-5,Always,High,No,Sometimes,Safe,Low,High,Sometimes,3-5 hours,No,,,
11/4/2025 15:10:34,25,Female,College/Pre-University/University,25,Very High,Often,Sometimes,Not at all,3-5,Often,High,No,Often,Safe,High,High,Sometimes,more than 5 hours,No,,,
11/4/2025 17:17:18,23,Female,College/Pre-University/University,120➕,High,Often,Sometimes,Sometimes,3-5,Often,High,Yes,Always,Safe,Very High,Low,Sometimes,more than 5 hours,No,,,
11/4/2025 17:22:04,19,Female,College/Pre-University/University,40,Very High,Always,Never,Sometimes,More than 5,Often,Very High,Not sure,Sometimes,Safe,Low,High,Sometimes,3-5 hours,No,,,
11/5/2025 2:17:39,21,Female,College/Pre-University/University,10,High,Often,Sometimes,Sometimes,None,Often,Low,Yes,Sometimes,Safe,Low,Very Low,Sometimes,3-5 hours,No,,,
11/5/2025 12:23:40,23,Male,College/Pre-University/University,50,Very High,Always,Never,Sometimes,More than 5,Always,Very High,Yes,Always,Very safe,Low,High,Never,more than 5 hours,No,,,
11/5/2025 16:49:30,21,Female,College/Pre-University/University,10,High,Often,Sometimes,Sometimes,3-5,Often,High,Yes,Often,Slightly safe,High,Low,Never,more than 5 hours,No,,,
11/5/2025 20:16:36,27,Female,Secondary School,52,Low,Often,Sometimes,Often,3-5,Sometimes,High,No,Sometimes,Safe,High,Low,Sometimes,1-2 hours,Yes,"Physical, Cyber",Sometimes,"Tell a parent or family member, Tell a friend, Ignore it/keep it to myself"
11/6/2025 12:39:41,21,Female,College/Pre-University/University,Not certain quantity,High,Often,Sometimes,Sometimes,3-5,Often,High,Not sure,Often,Safe,High,High,Often,more than 5 hours,Yes,"Verbal, Relational / Social, Cyber",Rarely,Ignore it/keep it to myself
11/6/2025 14:54:47,21,Male,College/Pre-University/University,49,High,Often,Sometimes,Not at all,3-5,Often,Low,Not sure,Sometimes,Safe,High,High,Sometimes,3-5 hours,Yes,Verbal,Rarely,Ignore it/keep it to myself
11/6/2025 22:17:20,22,Female,College/Pre-University/University,20,High,Sometimes,Sometimes,Not at all,1-2,Sometimes,Low,Not sure,Never,Slightly safe,High,Low,Sometimes,more than 5 hours,No,,,
11/6/2025 22:20:00,18,Female,College/Pre-University/University,20,Low,Sometimes,Often,Not at all,3-5,Sometimes,Low,Yes,Sometimes,Safe,High,Low,Often,3-5 hours,No,,,
11/6/2025 22:24:18,19,Female,Secondary School,20,High,Never,Often,Sometimes,More than 5,Often,High,Yes,Sometimes,Slightly safe,High,Low,Sometimes,more than 5 hours,Yes,"Verbal, Relational / Social",Rarely,"Tell a friend, Fight back or defend myself"
11/6/2025 22:32:10,17,Female,Secondary School,24,High,Sometimes,Sometimes,Not at all,1-2,Sometimes,Very High,Yes,Sometimes,Safe,Very High,Low,Always,more than 5 hours,Yes,"Verbal, Relational / Social",Sometimes,"Tell a teacher or counsellor, Tell a friend"
11/6/2025 23:33:04,17,Female,Secondary School,37,High,Sometimes,Sometimes,Not at all,1-2,Sometimes,High,Yes,Sometimes,Safe,High,Low,Often,more than 5 hours,Yes,"Verbal, Sexual",Rarely,Ignore it/keep it to myself
11/6/2025 23:56:11,17,Female,Secondary School,28,Low,Never,Sometimes,Not at all,3-5,Often,Low,No,Sometimes,Slightly safe,High,Low,Never,more than 5 hours,Yes,"Verbal, Relational / Social",Often,Tell a friend
11/7/2025 0:27:38,17,Female,Secondary School,29,High,Always,Sometimes,Not at all,1-2,Always,Low,No,Never,Slightly safe,High,Low,Often,3-5 hours,Yes,"Verbal, Relational / Social",Sometimes,"Tell a friend, Ignore it/keep it to myself"
11/9/2025 21:57:55,21,Male,College/Pre-University/University,30,Low,Sometimes,Sometimes,Sometimes,1-2,Sometimes,High,Not sure,Sometimes,Safe,Low,Low,Sometimes,3-5 hours,Yes,Relational / Social,Sometimes,Tell a friend
11/9/2025 22:00:04,21,Male,College/Pre-University/University,50,Very High,Always,Never,Sometimes,More than 5,Always,Very High,Yes,Often,Very safe,Very High,Very High,Sometimes,more than 5 hours,No,,,
11/9/2025 22:00:20,19,Female,College/Pre-University/University,23,Very High,Never,Sometimes,Sometimes,More than 5,Always,Low,Not sure,Sometimes,Not safe at all,Very High,Low,Sometimes,3-5 hours,No,,,
11/9/2025 22:23:30,20,Female,College/Pre-University/University,80,High,Often,Often,Sometimes,1-2,Often,Low,Not sure,Sometimes,Safe,High,High,Sometimes,3-5 hours,No,,,
11/9/2025 22:31:48,17,Female,Secondary School,28,Low,Sometimes,Sometimes,Not at all,More than 5,Sometimes,High,Not sure,Always,Safe,Low,High,Sometimes,more than 5 hours,No,,,
11/9/2025 22:50:42,20,Female,College/Pre-University/University,52,High,Often,Sometimes,Often,More than 5,Always,Very High,Not sure,Always,Safe,High,Low,Sometimes,more than 5 hours,No,,,
11/10/2025 0:15:39,18,Female,Secondary School,50,High,Always,Sometimes,Not at all,More than 5,Always,Very High,Yes,Always,Very safe,Low,Very High,Sometimes,3-5 hours,No,,,
11/10/2025 1:12:36,27,Male,College/Pre-University/University,Around 20+,High,Always,Sometimes,Sometimes,3-5,Always,High,Not sure,Sometimes,Slightly safe,High,Low,Sometimes,more than 5 hours,No,,,
11/10/2025 14:48:46,21,Female,College/Pre-University/University,50,Low,Sometimes,Often,Not at all,More than 5,Always,Very Low,Not sure,Sometimes,Safe,High,High,Sometimes,1-2 hours,No,,,
11/10/2025 14:54:05,21,Male,College/Pre-University/University,50,Very High,Sometimes,Never,Sometimes,More than 5,Often,High,Not sure,Sometimes,Safe,Very Low,High,Sometimes,more than 5 hours,Yes,"Verbal, Cyber",Rarely,Take some time to be alone
11/10/2025 14:56:28,22,Male,College/Pre-University/University,60,Very High,Often,Never,Sometimes,More than 5,Always,High,Yes,Sometimes,Safe,High,Low,Often,more than 5 hours,Yes,"Verbal, Relational / Social",Rarely,"Ignore it/keep it to myself, Post about it online"
11/10/2025 14:56:48,23,Male,College/Pre-University/University,37,High,Often,Sometimes,Sometimes,More than 5,Often,High,Not sure,Sometimes,Safe,Low,High,Sometimes,more than 5 hours,Yes,"Verbal, Relational / Social, Cyber",Sometimes,"Tell a friend, Ignore it/keep it to myself, Fight back or defend myself"
11/10/2025 15:10:50,21,Male,College/Pre-University/University,120,Very High,Often,Sometimes,Sometimes,More than 5,Often,High,No,Never,Very safe,High,Very High,Sometimes,3-5 hours,Yes,Verbal,Rarely,"Tell a parent or family member, Tell a friend, Ignore it/keep it to myself, Fight back or defend myself"
11/10/2025 15:14:38,21,Male,Secondary School,28,High,Sometimes,Sometimes,Sometimes,3-5,Often,High,Not sure,Sometimes,Safe,High,Low,Often,1-2 hours,Yes,"Physical, Verbal",Sometimes,"Tell a friend, Ignore it/keep it to myself"
11/10/2025 15:32:34,21,Male,College/Pre-University/University,30,Very High,Often,Sometimes,Often,More than 5,Always,High,No,Never,Safe,Low,High,Sometimes,more than 5 hours,Yes,"Physical, Verbal",Rarely,"Tell a parent or family member, Tell a friend, Fight back or defend myself"
11/10/2025 16:13:41,21,Female,College/Pre-University/University,200,High,Often,Sometimes,Often,3-5,Always,High,Not sure,Sometimes,Safe,High,Low,Never,1-2 hours,No,,,
11/10/2025 16:32:41,22,Male,College/Pre-University/University,50,High,Sometimes,Often,Not at all,More than 5,Always,High,No,Sometimes,Slightly safe,Very High,Low,Sometimes,more than 5 hours,No,,,
11/11/2025 10:36:23,22,Female,College/Pre-University/University,102,High,Sometimes,Often,Not at all,3-5,Often,Very High,Not sure,Often,Safe,High,Low,Never,more than 5 hours,Yes,Verbal,Rarely,"Tell a teacher or counsellor, Tell a parent or family member, Tell a friend"
11/11/2025 18:38:44,23,Female,College/Pre-University/University,41,High,Always,Sometimes,Sometimes,3-5,Often,High,No,Sometimes,Safe,High,Low,Sometimes,more than 5 hours,No,,,
11/12/2025 22:50:03,21,Female,College/Pre-University/University,47,High,Often,Sometimes,Sometimes,3-5,Often,High,Not sure,Never,Slightly safe,Low,Low,Sometimes,more than 5 hours,Yes,Verbal,Rarely,"Tell a teacher or counsellor, Tell a parent or family member"
